:ID,consumables,max_atmosphering_speed,cargo_capacity,passengers,created,edited,url,name,starship_class,model,MGLT,hyperdrive_rating,manufacturer,length,crew,cost_in_credits,:LABEL
249,2 years,unknown,11250000,16000,2014-12-20T18:08:42.926000Z,2014-12-20T21:23:49.935000Z,https://swapi.dev/api/starships/52/,Republic Assault ship,assault ship,Acclamator I-class assault ship,unknown,0.6,Rothana Heavy Engineering,752,700,unknown,Starship
250,7 days,1600,240,11,2014-12-20T18:37:56.969000Z,2014-12-20T21:23:49.937000Z,https://swapi.dev/api/starships/58/,Solar Sailer,yacht,Punworcca 116-class interstellar sloop,unknown,1.5,Huppla Pasa Tisc Shipwrights Collective,15.2,3,35700,Starship
251,4 years,1050,50000000,48247,2014-12-20T19:40:21.902000Z,2014-12-20T21:23:49.941000Z,https://swapi.dev/api/starships/59/,Trade Federation cruiser,capital ship,Providence-class carrier/destroyer,unknown,1.5,"Rendili StarDrive, Free Dac Volunteers Engineering corps.",1088,600,125000000,Starship
252,56 days,2000,50000,16,2014-12-20T19:48:40.409000Z,2014-12-20T21:23:49.944000Z,https://swapi.dev/api/starships/61/,Theta-class T-2c shuttle,transport,Theta-class T-2c shuttle,unknown,1.0,Cygnus Spaceworks,18.5,5,1000000,Starship
253,2 years,975,20000000,2000,2014-12-20T19:52:56.232000Z,2014-12-20T21:23:49.946000Z,https://swapi.dev/api/starships/63/,Republic attack cruiser,star destroyer,Senator-class Star Destroyer,unknown,1.0,"Kuat Drive Yards, Allanteen Six shipyards",1137,7400,59000000,Starship
254,unknown,1050,unknown,3,2014-12-20T19:55:15.396000Z,2014-12-20T21:23:49.948000Z,https://swapi.dev/api/starships/64/,Naboo star skiff,yacht,J-type star skiff,unknown,0.5,"Theed Palace Space Vessel Engineering Corps/Nubia Star Drives, Incorporated",29.2,3,unknown,Starship
255,2 days,1500,60,0,2014-12-20T19:56:57.468000Z,2014-12-20T21:23:49.951000Z,https://swapi.dev/api/starships/65/,Jedi Interceptor,starfighter,Eta-2 Actis-class light interceptor,unknown,1.0,Kuat Systems Engineering,5.47,1,320000,Starship
256,5 days,1000,110,0,2014-12-20T20:03:48.603000Z,2014-12-20T21:23:49.953000Z,https://swapi.dev/api/starships/66/,arc-170,starfighter,Aggressive Reconnaissance-170 starfighte,100,1.0,"Incom Corporation, Subpro Corporation",14.5,3,155000,Starship
257,2 years,unknown,40000000,unknown,2014-12-20T20:07:11.538000Z,2014-12-20T21:23:49.956000Z,https://swapi.dev/api/starships/68/,Banking clan frigte,cruiser,Munificent-class star frigate,unknown,1.0,"Hoersch-Kessel Drive, Inc, Gwori Revolutionary Industries",825,200,57000000,Starship
258,7 days,1100,140,0,2014-12-20T20:38:05.031000Z,2014-12-20T21:23:49.959000Z,https://swapi.dev/api/starships/74/,Belbullab-22 starfighter,starfighter,Belbullab-22 starfighter,unknown,6,Feethan Ottraw Scalable Assemblies,6.71,1,168000,Starship
259,15 hours,1050,60,0,2014-12-20T20:43:04.349000Z,2014-12-20T21:23:49.961000Z,https://swapi.dev/api/starships/75/,V-wing,starfighter,Alpha-3 Nimbus-class V-wing starfighter,unknown,1.0,Kuat Systems Engineering,7.9,1,102500,Starship
